cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed,nomad_score,place,region,sub-region,latitude,longitude
1364.0,152.41,1273.0,1.73,1.73,1.0,0.4,31.0,0.6,0.8,0.6,52.7,28.17,1.0,0.27,0.6,0.4,0.8,0.86,1.0,0.0,1.0,Budapest,Europe,Eastern Europe,47.497912,19.040235
777.0,98.88,780.0,0.85,0.85,0.8,0.6,14.0,0.2,0.4,0.8,78.8,44.53,0.8,0.6,0.6,0.4,0.62,0.75,0.4,0.0,0.95,Chiang Mai,Asia,South-eastern Asia,18.787747,98.9931284
1012.0,155.43,1714.0,1.41,1.41,0.8,0.4,14.0,0.2,0.4,0.8,78.8,44.53,0.6,0.8,0.6,0.42,0.6,0.75,0.82,0.0,0.85,Phuket,Asia,South-eastern Asia,7.9810457999999995,98.3638834
1197.0,131.41,1158.0,2.12,2.12,1.0,1.0,24.0,0.2,0.4,0.77,78.8,44.53,0.8,0.8,1.0,0.42,0.82,0.72,1.0,0.0,0.84,Bangkok,Asia,South-eastern Asia,13.7278956,100.5241235
1352.0,169.56,1347.0,1.41,1.41,0.8,0.4,15.0,0.2,0.4,0.8,78.8,44.53,0.8,0.8,1.0,0.4,0.8,0.8,0.8,0.0,0.84,Ko Samui,Asia,South-eastern Asia,9.512016800000001,100.0135929
812.0,135.65,1016.0,1.41,1.41,0.4,0.2,15.0,0.2,0.4,0.8,78.8,44.53,1.0,0.8,0.8,0.4,0.62,0.73,0.43,0.0,0.77,Ko Lanta,Asia,South-eastern Asia,7.6556,99.0419
1134.0,195.38,1119.0,1.41,1.41,0.6,0.6,12.0,0.2,0.4,0.6,78.8,44.53,0.6,0.4,1.0,0.6,0.8,0.76,0.8,0.0,0.74,Chiang Rai,Asia,South-eastern Asia,19.8758052,99.7388804
1134.0,113.04,1100.0,2.12,2.12,0.4,0.6,9.0,0.2,0.4,0.56,78.8,44.53,0.2,1.0,1.0,0.4,0.8,0.66,0.8,0.0,0.72,Pattaya,Asia,South-eastern Asia,12.9276,100.8771
866.0,172.39,1483.0,1.84,1.84,0.4,0.4,0.0,0.2,0.4,0.6,78.8,44.53,0.6,0.4,0.8,0.4,0.6,0.7,0.4,0.0,0.7,Ao Nang,Asia,South-eastern Asia,8.0306534,98.8218095
1232.0,172.39,2173.0,1.55,1.55,0.4,0.4,13.0,0.2,0.4,0.4,78.8,44.53,0.6,0.4,0.6,0.6,0.6,0.66,0.6,0.0,0.69,Hua Hin,Asia,South-eastern Asia,12.5913082,99.905748
777.0,110.21,1152.0,1.41,1.41,0.4,0.2,2.0,0.2,0.4,0.6,78.8,44.53,0.6,0.8,0.8,0.4,0.6,0.65,1.0,0.0,0.6,Ko Pha Ngan,Asia,South-eastern Asia,9.75,100.0333
1247.0,28.26,1092.0,1.41,1.41,0.2,0.4,2.0,0.2,0.4,0.6,78.8,44.53,1.0,0.8,0.8,0.4,0.6,0.67,0.4,0.0,0.58,Ko Tao,Asia,South-eastern Asia,10.0922767,99.80038459999999
1285.0,110.21,730.0,1.41,1.41,0.2,0.2,3.0,0.2,0.4,0.8,78.8,44.53,0.6,0.6,0.8,0.4,0.6,0.66,1.0,0.0,0.55,Ko Phi Phi,Asia,South-eastern Asia,7.7333,98.7667
1297.0,423.9,971.0,1.41,1.41,0.6,0.4,4.0,0.2,0.4,0.8,78.8,44.53,0.6,0.6,1.0,0.4,0.4,0.66,0.2,0.0,0.49,Pai,Asia,South-eastern Asia,19.359228299999998,98.4372691
1639.0,159.13,1653.0,1.99,1.99,1.0,0.6,15.0,0.8,0.8,0.8,40.8,16.66,1.0,0.6,0.8,0.42,1.0,0.83,1.0,1.0,0.94,Prague,Europe,Eastern Europe,50.0755381,14.4378005
1699.0,79.25,912.0,0.97,0.97,0.4,0.4,26.0,0.8,0.8,0.8,40.8,16.66,0.8,0.6,0.8,0.4,0.4,0.74,0.6,1.0,0.69,Brno,Europe,Eastern Europe,49.1950602,16.6068371
1545.0,47.01,1640.0,1.88,1.88,1.0,1.0,16.0,0.6,0.7134306668184986,1.0,52.79141027289258,24.37,1.0,0.8,0.8,0.0,1.0,0.93,0.6,0.0,0.94,Taipei,Asia,Eastern Asia,25.091075,121.5598345
2695.0,251.44,909.0,0.0,0.0,0.8,0.8,25.0,0.6,0.7655438842538717,0.8,48.46495682630894,24.37,0.8,0.6,0.6,0.6,0.8,0.85,0.8,0.0,0.75,New Taipei City,Asia,Eastern Asia,24.9853699,121.08429280000001
1456.0,219.39,1010.0,1.57,1.57,0.6,1.0,7.0,0.6,0.8216658478135233,0.8,33.928778510844936,24.37,0.8,0.6,0.6,0.0,0.4,0.77,0.4,0.0,0.74,Taichung,Asia,Eastern Asia,24.1477358,120.6736482
1160.0,95.59,835.0,1.57,1.57,0.4,1.0,9.0,0.6,0.8360211708120392,1.0,51.30994553967338,24.37,1.0,0.8,1.0,0.0,0.6,0.82,0.6,0.0,0.72,Kaohsiung,Asia,Eastern Asia,22.627278399999998,120.3014353
1398.0,251.44,1921.0,0.0,0.0,0.6,0.8,5.0,0.6,0.6836349813254223,0.8,45.50788571195091,24.37,0.8,0.6,0.6,0.6,0.8,0.79,0.6,0.0,0.72,Tainan,Asia,Eastern Asia,23.150376100000003,120.06567679999999
3028.0,200.0,3309.0,5.0,5.0,1.0,0.6,118.0,0.6,0.8,0.73,34.0,22.49,0.8,0.6,0.8,0.8,1.0,0.95,1.0,0.0,0.94,Austin,Americas,Northern America,30.267153000000004,-97.7430608
3238.0,250.0,4325.0,4.0,4.0,1.0,1.0,81.0,0.6,0.8,0.73,34.0,22.49,0.8,1.0,0.8,0.8,1.0,1.0,1.0,0.0,0.92,Miami,Americas,Northern America,25.7616798,-80.1917902
3503.0,300.0,2691.0,5.0,5.0,1.0,0.4,23.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,1.0,0.95,1.0,1.0,0.9,Portland,Americas,Northern America,45.523062200000005,-122.67648159999999
3427.0,490.0,3764.0,5.0,5.0,1.0,1.0,55.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.6,0.92,1.0,1.0,0.89,San Diego,Americas,Northern America,32.715738,-117.1610838
2956.0,300.0,2760.0,3.5,3.5,1.0,0.6,99.0,0.6,0.8,0.4,34.0,22.49,0.8,1.0,0.8,0.8,0.8,0.87,0.6,0.0,0.88,Atlanta,Americas,Northern America,33.7489954,-84.3879824
3193.0,400.0,3016.0,4.0,4.0,1.0,0.6,17.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.89,0.44,1.0,0.86,Minneapolis,Americas,Northern America,44.977753,-93.2650108
3400.0,250.0,3292.0,5.0,5.0,1.0,0.8,20.0,0.6,0.8,0.38,34.0,22.49,0.8,0.62,0.6,0.8,0.6,0.87,0.8,1.0,0.86,Oakland,Americas,Northern America,37.8043637,-122.27111370000002
3164.0,199.0,2884.0,6.0,6.0,1.0,0.6,15.0,0.6,0.8,0.4,34.0,22.49,0.0,0.6,0.64,0.82,0.45,0.83,0.8,0.0,0.85,Houston,Americas,Northern America,29.7604267,-95.36980279999999
2552.0,175.0,2572.0,5.0,5.0,0.8,0.98,55.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,1.0,0.8,1.0,0.94,1.0,1.0,0.85,Las Vegas,Americas,Northern America,36.169941200000004,-115.13982959999998
3602.0,450.0,3306.0,4.0,4.0,1.0,0.6,101.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.62,0.88,0.6,1.0,0.85,Denver,Americas,Northern America,39.739235799999996,-104.990251
4370.0,345.0,3178.0,5.0,5.0,1.0,1.0,17.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.91,0.8,1.0,0.84,Seattle,Americas,Northern America,47.6062095,-122.33207079999998
2671.0,50.0,2109.0,5.0,5.0,0.8,0.8,45.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.88,0.8,0.0,0.84,San Antonio,Americas,Northern America,29.4241219,-98.4936282
3158.0,121.0,2478.0,5.0,5.0,0.8,0.8,49.0,0.6,0.8,0.8,34.0,22.49,0.8,0.8,0.8,0.8,0.8,0.89,0.4,0.0,0.84,Dallas,Americas,Northern America,32.7766642,-96.7969879
3051.0,200.0,2204.0,4.5,4.5,0.8,0.6,97.0,0.6,0.8,0.44,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.89,1.0,1.0,0.83,Kansas City,Americas,Northern America,39.0997265,-94.5785667
2743.0,45.0,2498.0,5.0,5.0,0.8,0.8,33.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.8,0.88,0.6,0.0,0.83,Madison,Americas,Northern America,43.07305170000001,-89.4012302
2798.0,100.0,1996.0,5.0,5.0,0.8,0.8,37.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,0.8,0.8,0.8,0.88,0.8,0.0,0.83,Buffalo,Americas,Northern America,42.8864468,-78.8783689
3145.0,300.0,3204.0,5.5,5.5,0.8,0.8,12.0,0.6,0.8,0.6,34.0,22.49,1.0,0.8,0.8,0.8,0.8,0.88,1.0,0.0,0.82,Fort Lauderdale,Americas,Northern America,26.122438600000002,-80.13731740000001
2823.0,97.0,2754.0,5.0,5.0,0.8,0.8,45.0,0.6,0.8,0.8,34.0,22.49,0.6,0.6,0.8,0.8,0.6,0.86,0.8,0.0,0.82,Tampa,Americas,Northern America,27.950575,-82.4571776
2627.0,80.0,2126.0,4.0,4.0,0.8,0.8,35.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,0.8,0.8,0.6,0.87,0.6,0.0,0.82,Louisville,Americas,Northern America,38.252664700000004,-85.7584557
4497.0,350.0,3163.0,7.5,7.5,1.0,1.0,23.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,0.8,0.8,0.8,0.88,1.0,1.0,0.82,Philadelphia,Americas,Northern America,39.9525839,-75.1652215
3034.0,275.0,2894.0,5.0,5.0,0.8,0.4,36.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.8,0.87,1.0,0.0,0.82,New Orleans,Americas,Northern America,29.9510658,-90.0715323
2824.0,250.0,4623.0,5.0,5.0,0.8,1.0,24.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,0.6,0.8,0.6,0.84,0.8,0.0,0.81,Richmond,Americas,Northern America,37.540724600000004,-77.4360481
3033.0,180.0,2826.0,5.0,5.0,0.8,1.0,32.0,0.6,0.8,0.8,34.0,22.49,1.0,0.8,0.8,0.8,0.6,0.87,0.6,1.0,0.81,Sacramento,Americas,Northern America,38.5815719,-121.49439960000001
2361.0,40.0,1857.0,4.5,4.5,0.8,0.8,23.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.6,0.8,0.8,0.89,0.8,1.0,0.81,Albuquerque,Americas,Northern America,35.110703,-106.609991
2773.0,150.0,2283.0,5.0,5.0,0.8,0.0,34.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.8,0.78,0.6,0.86,0.42,0.0,0.81,Norfolk,Americas,Northern America,36.8507689,-76.28587259999999
3202.0,200.0,2436.0,4.0,4.0,0.8,0.6,36.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.6,0.87,0.6,1.0,0.81,Colorado Springs,Americas,Northern America,38.8338816,-104.82136340000001
2668.0,73.86,1875.0,3.69,3.69,0.8,0.8,30.0,0.8,1.0,1.0,23.8,15.26,0.8,0.8,1.0,1.0,0.6,0.87,0.6,0.0,0.81,Windsor,Americas,Northern America,42.314936700000004,-83.03636329999999
2956.0,350.0,2336.0,5.0,5.0,0.8,0.0,31.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.8,0.8,0.4,0.85,1.0,0.0,0.81,Omaha,Americas,Northern America,41.25236339999999,-95.99798829999999
2945.0,300.0,2578.0,5.0,5.0,0.8,1.0,30.0,0.6,0.8,0.6,34.0,22.49,1.0,0.4,0.8,0.8,0.6,0.86,0.8,0.0,0.81,Raleigh,Americas,Northern America,35.7795897,-78.6381787
3482.0,275.0,3450.0,5.0,5.0,0.8,0.4,28.0,0.6,0.8,0.8,34.0,22.49,0.8,0.6,0.8,0.8,0.8,0.9,1.0,0.0,0.8,Nashville,Americas,Northern America,36.1626638,-86.78160159999999
3582.0,110.0,2577.0,7.0,7.0,0.8,0.8,28.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.8,0.8,0.8,0.88,0.6,0.0,0.8,Milwaukee,Americas,Northern America,43.0389025,-87.9064736
2729.0,250.0,2352.0,5.0,5.0,0.8,0.6,40.0,0.6,0.8,0.8,34.0,22.49,1.0,0.6,0.4,0.8,0.6,0.81,0.6,1.0,0.8,Phoenix,Americas,Northern America,33.4483771,-112.07403729999999
3015.0,200.0,2277.0,5.0,5.0,0.8,0.4,22.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,0.8,0.8,0.6,0.84,0.6,0.0,0.8,Rochester,Americas,Northern America,43.16103,-77.61092190000001
2796.0,200.0,2739.0,5.0,5.0,0.8,0.4,66.0,0.6,0.8,0.6,34.0,22.49,0.8,0.4,0.8,0.8,0.6,0.83,0.6,1.0,0.8,Orlando,Americas,Northern America,28.5383355,-81.3792365
2576.0,150.0,2223.0,5.0,5.0,0.8,0.8,15.0,0.6,0.8,0.6,34.0,22.49,0.8,0.8,1.0,0.8,0.4,0.82,0.4,1.0,0.79,Tucson,Americas,Northern America,32.2217429,-110.926479
3087.0,260.0,2536.0,5.0,5.0,0.8,0.8,18.0,0.6,0.8,1.0,34.0,22.49,1.0,0.45,0.8,0.8,0.6,0.85,0.6,0.0,0.79,Asheville,Americas,Northern America,35.5950581,-82.5514869
