gender,income,criminals,diffrace,leftwings,alcoholics,rightwings,manykids,neurotics,muslims,imigrants,aids,addicts,homoseksuals,jews,gypsies,age,edu,id
2,900000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,4,1
1,180000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30,4,2
1,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,3
2,180000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,55,0,4
2,60000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,5
2,135000,1,0,0,1,0,0,0,0,0,0,0,1,0,0,60,1,6
1,284000,1,1,1,1,1,1,0,1,1,1,0,1,1,1,32,3,7
1,200000,0,0,0,1,0,0,0,0,0,0,1,1,0,0,21,4,8
1,1600000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,58,1,9
1,300000,0,0,0,0,0,0,0,0,1,0,1,0,0,0,39,0,10
2,450000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,11
2,700000,0,0,0,1,1,0,0,0,0,0,1,0,0,1,31,4,12
2,550000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,32,4,13
2,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3,14
1,190000,1,0,0,1,0,0,0,0,0,0,1,0,0,0,33,0,15
2,315000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,50,4,16
2,42000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,4,17
1,220000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,18
2,220000,0,0,0,1,0,0,0,0,0,1,1,1,0,0,27,0,19
2,460000,0,1,0,0,0,0,0,0,0,0,1,0,0,1,39,0,20
2,210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,2,21
1,480000,0,0,0,1,0,0,0,0,0,0,1,0,1,0,31,1,22
2,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4,23
2,106000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,25,4,24
1,200000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,26,4,25
2,184000,1,1,0,1,0,1,1,1,1,0,1,0,0,1,57,1,26
